Author1,Author2,Shared Citations
A. Senftleben,M. S. Pindzola,16
A. Senftleben,O. Al-Hagan,16
A. Senftleben,D. H. Madison,16
A. Senftleben,I. Bray,16
A. Senftleben,D. V. Fursa,16
A. Senftleben,J. Ullrich,16
T. Pflüger,A. Dorn,16
T. Pflüger,J. Colgan,16
T. Pflüger,M. S. Pindzola,16
T. Pflüger,O. Al-Hagan,16
T. Pflüger,D. H. Madison,16
T. Pflüger,I. Bray,16
T. Pflüger,D. V. Fursa,16
T. Pflüger,J. Ullrich,16
A. Dorn,J. Colgan,16
A. Dorn,M. S. Pindzola,16
A. Dorn,O. Al-Hagan,16
A. Dorn,D. H. Madison,16
A. Dorn,I. Bray,16
A. Dorn,D. V. Fursa,16
A. Dorn,J. Ullrich,16
J. Colgan,M. S. Pindzola,16
J. Colgan,O. Al-Hagan,16
J. Colgan,D. H. Madison,16
J. Colgan,I. Bray,16
J. Colgan,D. V. Fursa,16
J. Colgan,J. Ullrich,16
M. S. Pindzola,O. Al-Hagan,16
M. S. Pindzola,D. H. Madison,16
M. S. Pindzola,I. Bray,16
M. S. Pindzola,D. V. Fursa,16
M. S. Pindzola,J. Ullrich,16
O. Al-Hagan,D. H. Madison,16
O. Al-Hagan,I. Bray,16
O. Al-Hagan,D. V. Fursa,16
O. Al-Hagan,J. Ullrich,16
D. H. Madison,I. Bray,16
D. H. Madison,D. V. Fursa,16
D. H. Madison,J. Ullrich,16
I. Bray,D. V. Fursa,16
I. Bray,J. Ullrich,16
D. V. Fursa,J. Ullrich,16
Igor P. Ivanov,Dmitry V. Karlovets,4
R. E. Wagner,Q. Su,18
R. E. Wagner,R. Grobe,18
Q. Su,R. Grobe,18
M. Henderson,R. E. Irving,3
M. Henderson,L. J. Curtis,3
M. Henderson,I. Martinson,3
M. Henderson,T. Brage,3
M. Henderson,P. Bengtsson,3
R. E. Irving,L. J. Curtis,3
R. E. Irving,I. Martinson,3
R. E. Irving,T. Brage,3
R. E. Irving,P. Bengtsson,3
L. J. Curtis,I. Martinson,3
L. J. Curtis,T. Brage,3
L. J. Curtis,P. Bengtsson,3
I. Martinson,T. Brage,3
I. Martinson,P. Bengtsson,3
T. Brage,P. Bengtsson,3
J. E. Bayfield,L. D. Gardner,17
J. E. Bayfield,Y. Z. Gulkok,17
J. E. Bayfield,S. D. Sharma,17
L. D. Gardner,Y. Z. Gulkok,17
L. D. Gardner,S. D. Sharma,17
Y. Z. Gulkok,S. D. Sharma,17
Gautam Vemuri,Donald M. Wood,12
Jaeyoon Cho,Dimitris G. Angelakis,22
Jaeyoon Cho,Sougato Bose,22
Dimitris G. Angelakis,Sougato Bose,22
C. E. Dick,A. C. Lucas,40
M. S. Pindzola,J. A. Ludlow,5
M. S. Pindzola,F. Robicheaux,5
M. S. Pindzola,J. Colgan,5
M. S. Pindzola,C. J. Fontes,5
J. A. Ludlow,F. Robicheaux,5
J. A. Ludlow,J. Colgan,5
J. A. Ludlow,C. J. Fontes,5
F. Robicheaux,J. Colgan,5
F. Robicheaux,C. J. Fontes,5
J. Colgan,C. J. Fontes,5
G. Ihm,M. W. Cole,15
G. Ihm,F. Toigo,15
G. Ihm,J. R. Klein,15
M. W. Cole,F. Toigo,15
M. W. Cole,J. R. Klein,15
F. Toigo,J. R. Klein,15
M. Grether,A. Spieler,44
M. Grether,R. Köhrbrück,44
M. Grether,N. Stolterfoht,44
A. Spieler,R. Köhrbrück,44
A. Spieler,N. Stolterfoht,44
R. Köhrbrück,N. Stolterfoht,44
L. Dovrat,M. Bakstein,2
L. Dovrat,D. Istrati,2
L. Dovrat,E. Megidish,2
L. Dovrat,A. Halevy,2
L. Dovrat,L. Cohen,2
L. Dovrat,H. S. Eisenberg,2
M. Bakstein,D. Istrati,2
M. Bakstein,E. Megidish,2
M. Bakstein,A. Halevy,2
M. Bakstein,L. Cohen,2
M. Bakstein,H. S. Eisenberg,2
D. Istrati,E. Megidish,2
D. Istrati,A. Halevy,2
D. Istrati,L. Cohen,2
D. Istrati,H. S. Eisenberg,2
E. Megidish,A. Halevy,2
E. Megidish,L. Cohen,2
E. Megidish,H. S. Eisenberg,2
A. Halevy,L. Cohen,2
A. Halevy,H. S. Eisenberg,2
L. Cohen,H. S. Eisenberg,2
A. D. Baute,I. L. Egusquiza,11
A. D. Baute,J. G. Muga,11
I. L. Egusquiza,J. G. Muga,11
R. V. Hodges,R. N. Varney,18
R. V. Hodges,J. F. Riley,18
R. N. Varney,J. F. Riley,18
Bogumil Jeziorski,Hendrik J. Monkhorst,554
E. Behar,P. Mandelbaum,16
E. Behar,J. L. Schwob,16
P. Mandelbaum,J. L. Schwob,16
R. Bonifacio,R. Corsini,34
R. Bonifacio,P. Pierini,34
R. Corsini,P. Pierini,34
L. Coolen,X. Brokmann,8
L. Coolen,J.-P. Hermier,8
X. Brokmann,J.-P. Hermier,8
M. S. Safronova,W. R. Johnson,53
M. S. Safronova,U. I. Safronova,53
W. R. Johnson,U. I. Safronova,53
H. Hora,A. K. Ghatak,12
H. Bregman-Reisler,J. P. Doering,6
R. T. Farouki,S. Hamaguchi,4
R. T. Farouki,M. Surendra,4
R. T. Farouki,M. Dalvie,4
S. Hamaguchi,M. Surendra,4
S. Hamaguchi,M. Dalvie,4
M. Surendra,M. Dalvie,4
Keiichiro Urabe,Osamu Sakai,1
M. Meyer,E. von Raven,37
M. Meyer,B. Sonntag,37
M. Meyer,J. E. Hansen,37
E. von Raven,B. Sonntag,37
E. von Raven,J. E. Hansen,37
B. Sonntag,J. E. Hansen,37
Z. Felfli,A. Z. Msezane,7
Z. Felfli,D. Sokolovski,7
A. Z. Msezane,D. Sokolovski,7
L. Vriens,A. H. M. Smeets,200
Tsubasa Ichikawa,Toshihiko Sasaki,8
Tsubasa Ichikawa,Izumi Tsutsui,8
Tsubasa Ichikawa,Nobuhiro Yonezawa,8
Toshihiko Sasaki,Izumi Tsutsui,8
Toshihiko Sasaki,Nobuhiro Yonezawa,8
Izumi Tsutsui,Nobuhiro Yonezawa,8
Hualin Shi,Wei-Mou Zheng,16
Bin Duan,Zaiqiao Bai,3
Bin Duan,Yan Gu,3
Zaiqiao Bai,Yan Gu,3
K. Jänkälä,S. Urpelainen,9
K. Jänkälä,M. Huttula,9
K. Jänkälä,S. Fritzsche,9
K. Jänkälä,S. Heinäsmäki,9
K. Jänkälä,S. Aksela,9
K. Jänkälä,H. Aksela,9
S. Urpelainen,M. Huttula,9
S. Urpelainen,S. Fritzsche,9
S. Urpelainen,S. Heinäsmäki,9
S. Urpelainen,S. Aksela,9
S. Urpelainen,H. Aksela,9
M. Huttula,S. Fritzsche,9
M. Huttula,S. Heinäsmäki,9
M. Huttula,S. Aksela,9
M. Huttula,H. Aksela,9
S. Fritzsche,S. Heinäsmäki,9
S. Fritzsche,S. Aksela,9
S. Fritzsche,H. Aksela,9
S. Heinäsmäki,S. Aksela,9
S. Heinäsmäki,H. Aksela,9
S. Aksela,H. Aksela,9
Andreas Nunnenkamp,Ana Maria Rey,3
Andreas Nunnenkamp,Keith Burnett,3
Ana Maria Rey,Keith Burnett,3
J. L. Fox,A. Dalgarno,13
F. Martn,I. Sánchez,23
F. Martn,H. Bachau,23
I. Sánchez,H. Bachau,23
Ruggero Vasile,Stefano Olivares,38
Ruggero Vasile,MatteoG. A. Paris,38
Ruggero Vasile,Sabrina Maniscalco,38
Stefano Olivares,MatteoG. A. Paris,38
Stefano Olivares,Sabrina Maniscalco,38
MatteoG. A. Paris,Sabrina Maniscalco,38
D. Guillon,P. E. Cladis,23
D. Guillon,D. Aadsen,23
D. Guillon,W. B. Daniels,23
P. E. Cladis,D. Aadsen,23
P. E. Cladis,W. B. Daniels,23
D. Aadsen,W. B. Daniels,23
M. S. Pindzola,M. G. Payne,9
M. S. Pindzola,W. R. Garrett,9
M. G. Payne,W. R. Garrett,9
C. Blancard,Ph. Cossé,6
