Author1,Author2,Shared Citations
R. Díez Muiño,P. M. Echenique,15
Louis Petrone,Martha A. Cotter,6
Nurit Lipkin,Nimrod Moiseyev,9
Daniele Giovannini,Eleonora Nagali,13
Daniele Giovannini,Lorenzo Marrucci,13
Daniele Giovannini,Fabio Sciarrino,13
Eleonora Nagali,Lorenzo Marrucci,13
Eleonora Nagali,Fabio Sciarrino,13
Lorenzo Marrucci,Fabio Sciarrino,13
Jair Botina,Herschel Rabitz,2
Bo-nian Dai,P. Lambropoulos,69
Jacek Karwowski,Inmaculada Martin,29
C. Morais Smith,A. O. Caldeira,30
A. Dauphin,M. Müller,19
A. Dauphin,M. A. Martin-Delgado,19
M. Müller,M. A. Martin-Delgado,19
Ariel Guerreiro,Aires Ferreira,5
Ariel Guerreiro,J. T. Mendonça,5
Aires Ferreira,J. T. Mendonça,5
Jean-Philippe Karr,Vladimir I. Korobov,4
Jean-Philippe Karr,Laurent Hilico,4
Vladimir I. Korobov,Laurent Hilico,4
A. R. B. de Castro,T. Laarmann,2
A. R. B. de Castro,J. Schulz,2
A. R. B. de Castro,H. Wabnitz,2
A. R. B. de Castro,T. Möller,2
T. Laarmann,J. Schulz,2
T. Laarmann,H. Wabnitz,2
T. Laarmann,T. Möller,2
J. Schulz,H. Wabnitz,2
J. Schulz,T. Möller,2
H. Wabnitz,T. Möller,2
A. K. Edwards,Q. Zheng,16
A. K. Edwards,R. M. Wood,16
A. K. Edwards,M. A. Mangan,16
Q. Zheng,R. M. Wood,16
Q. Zheng,M. A. Mangan,16
R. M. Wood,M. A. Mangan,16
Yan Liu,Yujun Zheng,15
Yan Liu,Weiyi Ren,15
Yan Liu,Shiliang Ding,15
Yujun Zheng,Weiyi Ren,15
Yujun Zheng,Shiliang Ding,15
Weiyi Ren,Shiliang Ding,15
Jolanta B. Lagowski,S. H. Vosko,11
M. Athiba Azhar,K. Gopala,4
Michael C. Garrett,Adrian Ratnapala,9
Michael C. Garrett,Eikbert D. van Ooijen,9
Michael C. Garrett,Christopher J. Vale,9
Michael C. Garrett,Kristian Weegink,9
Michael C. Garrett,Sebastian K. Schnelle,9
Michael C. Garrett,Otto Vainio,9
Michael C. Garrett,Norman R. Heckenberg,9
Michael C. Garrett,Halina Rubinsztein-Dunlop,9
Michael C. Garrett,Matthew J. Davis,9
Adrian Ratnapala,Eikbert D. van Ooijen,9
Adrian Ratnapala,Christopher J. Vale,9
Adrian Ratnapala,Kristian Weegink,9
Adrian Ratnapala,Sebastian K. Schnelle,9
Adrian Ratnapala,Otto Vainio,9
Adrian Ratnapala,Norman R. Heckenberg,9
Adrian Ratnapala,Halina Rubinsztein-Dunlop,9
Adrian Ratnapala,Matthew J. Davis,9
Eikbert D. van Ooijen,Christopher J. Vale,9
Eikbert D. van Ooijen,Kristian Weegink,9
Eikbert D. van Ooijen,Sebastian K. Schnelle,9
Eikbert D. van Ooijen,Otto Vainio,9
Eikbert D. van Ooijen,Norman R. Heckenberg,9
Eikbert D. van Ooijen,Halina Rubinsztein-Dunlop,9
Eikbert D. van Ooijen,Matthew J. Davis,9
Christopher J. Vale,Kristian Weegink,9
Christopher J. Vale,Sebastian K. Schnelle,9
Christopher J. Vale,Otto Vainio,9
Christopher J. Vale,Norman R. Heckenberg,9
Christopher J. Vale,Halina Rubinsztein-Dunlop,9
Christopher J. Vale,Matthew J. Davis,9
Kristian Weegink,Sebastian K. Schnelle,9
Kristian Weegink,Otto Vainio,9
Kristian Weegink,Norman R. Heckenberg,9
Kristian Weegink,Halina Rubinsztein-Dunlop,9
Kristian Weegink,Matthew J. Davis,9
Sebastian K. Schnelle,Otto Vainio,9
Sebastian K. Schnelle,Norman R. Heckenberg,9
Sebastian K. Schnelle,Halina Rubinsztein-Dunlop,9
Sebastian K. Schnelle,Matthew J. Davis,9
Otto Vainio,Norman R. Heckenberg,9
Otto Vainio,Halina Rubinsztein-Dunlop,9
Otto Vainio,Matthew J. Davis,9
Norman R. Heckenberg,Halina Rubinsztein-Dunlop,9
Norman R. Heckenberg,Matthew J. Davis,9
Halina Rubinsztein-Dunlop,Matthew J. Davis,9
Preben Alstro/m,Risto K. Ritala,33
Krista Jansen,S. J. Ward,2
Krista Jansen,J. Shertzer,2
Krista Jansen,J. H. Macek,2
S. J. Ward,J. Shertzer,2
S. J. Ward,J. H. Macek,2
J. Shertzer,J. H. Macek,2
D. Fregenal,M. Førre,3
D. Fregenal,B. Henningsen,3
D. Fregenal,E. Horsdal,3
D. Fregenal,D. Richards,3
M. Førre,B. Henningsen,3
M. Førre,E. Horsdal,3
M. Førre,D. Richards,3
B. Henningsen,E. Horsdal,3
B. Henningsen,D. Richards,3
E. Horsdal,D. Richards,3
D. C. Rodenberger,J. R. Heflin,18
D. C. Rodenberger,A. F. Garito,18
J. R. Heflin,A. F. Garito,18
Andrew J. Daley,Jonathan Simon,6
Gilad Marcus,Lazar Friedland,2
Gilad Marcus,Arie Zigler,2
Lazar Friedland,Arie Zigler,2
B. Yurke,D. Stoler,40
T. Hogg,B. A. Huberman,76
Luc Bergé,Tristram J. Alexander,39
Luc Bergé,Yuri S. Kivshar,39
Tristram J. Alexander,Yuri S. Kivshar,39
S. D. Kenny,,20
S. D. Kenny,R. J. Needs,20
G. Rajagopal,R. J. Needs,20
Marcus P. da Silva,Deniz Bozyigit,32
Marcus P. da Silva,Andreas Wallraff,32
Marcus P. da Silva,Alexandre Blais,32
Deniz Bozyigit,Andreas Wallraff,32
Deniz Bozyigit,Alexandre Blais,32
Andreas Wallraff,Alexandre Blais,32
A. Huetz,I. Cade?,17
A. Huetz,F. Gresteau,17
A. Huetz,R. I. Hall,17
A. Huetz,D. Vichon,17
A. Huetz,J. Mazeau,17
I. Cade?,F. Gresteau,17
I. Cade?,R. I. Hall,17
I. Cade?,D. Vichon,17
I. Cade?,J. Mazeau,17
F. Gresteau,R. I. Hall,17
F. Gresteau,D. Vichon,17
F. Gresteau,J. Mazeau,17
R. I. Hall,D. Vichon,17
R. I. Hall,J. Mazeau,17
D. Vichon,J. Mazeau,17
W. C. Schieve,A. R. Bulsara,10
Jordi Mur-Petit,Juan José García-Ripoll,16
Jordi Mur-Petit,Jesús Pérez-Ríos,16
Jordi Mur-Petit,José Campos-Martínez,16
Jordi Mur-Petit,Marta I. Hernández,16
Jordi Mur-Petit,Stefan Willitsch,16
Juan José García-Ripoll,Jesús Pérez-Ríos,16
Juan José García-Ripoll,José Campos-Martínez,16
Juan José García-Ripoll,Marta I. Hernández,16
Juan José García-Ripoll,Stefan Willitsch,16
Jesús Pérez-Ríos,José Campos-Martínez,16
Jesús Pérez-Ríos,Marta I. Hernández,16
Jesús Pérez-Ríos,Stefan Willitsch,16
José Campos-Martínez,Marta I. Hernández,16
José Campos-Martínez,Stefan Willitsch,16
Marta I. Hernández,Stefan Willitsch,16
Henrik Hartman,Hampus Nilsson,4
Henrik Hartman,Lars Engström,4
Henrik Hartman,Hans Lundberg,4
Henrik Hartman,Patrick Palmeri,4
Henrik Hartman,Pascal Quinet,4
Henrik Hartman,Émile Biémont,4
Hampus Nilsson,Lars Engström,4
Hampus Nilsson,Hans Lundberg,4
Hampus Nilsson,Patrick Palmeri,4
Hampus Nilsson,Pascal Quinet,4
Hampus Nilsson,Émile Biémont,4
Lars Engström,Hans Lundberg,4
Lars Engström,Patrick Palmeri,4
Lars Engström,Pascal Quinet,4
Lars Engström,Émile Biémont,4
Hans Lundberg,Patrick Palmeri,4
Hans Lundberg,Pascal Quinet,4
Hans Lundberg,Émile Biémont,4
Patrick Palmeri,Pascal Quinet,4
Patrick Palmeri,Émile Biémont,4
Pascal Quinet,Émile Biémont,4
A. V. Mamaev,M. Saffman,15
A. V. Mamaev,A. A. Zozulya,15
M. Saffman,A. A. Zozulya,15
A. I. Yakimenko,K. O. Isaieva,1
A. I. Yakimenko,S. I. Vilchinskii,1
A. I. Yakimenko,E. A. Ostrovskaya,1
K. O. Isaieva,S. I. Vilchinskii,1
K. O. Isaieva,E. A. Ostrovskaya,1
S. I. Vilchinskii,E. A. Ostrovskaya,1
Zhuo Liu,Lülin Kuang,9
Zhuo Liu,Kai Hu,9
Zhuo Liu,Luting Xu,9
Zhuo Liu,Suhua Wei,9
Zhuo Liu,Lingzhen Guo,9
Zhuo Liu,Xin-Qi Li,9
Lülin Kuang,Kai Hu,9
Lülin Kuang,Luting Xu,9
Lülin Kuang,Suhua Wei,9
Lülin Kuang,Lingzhen Guo,9
Lülin Kuang,Xin-Qi Li,9
Kai Hu,Luting Xu,9
Kai Hu,Suhua Wei,9
Kai Hu,Lingzhen Guo,9
Kai Hu,Xin-Qi Li,9
Luting Xu,Suhua Wei,9
Luting Xu,Lingzhen Guo,9
Luting Xu,Xin-Qi Li,9
Suhua Wei,Lingzhen Guo,9
Suhua Wei,Xin-Qi Li,9
Lingzhen Guo,Xin-Qi Li,9
L. Nahon,L. Duffy,22
L. Nahon,P. Morin,22
L. Nahon,F. Combet-Farnoux,22
L. Nahon,J. Tremblay,22
L. Nahon,M. Larzilliere,22
L. Duffy,P. Morin,22
L. Duffy,F. Combet-Farnoux,22
L. Duffy,J. Tremblay,22
L. Duffy,M. Larzilliere,22
P. Morin,F. Combet-Farnoux,22
P. Morin,J. Tremblay,22
P. Morin,M. Larzilliere,22
F. Combet-Farnoux,J. Tremblay,22
F. Combet-Farnoux,M. Larzilliere,22
J. Tremblay,M. Larzilliere,22
K. Unnikrishnan,M. A. Prasad,2
U. I. Safronova,A. S. Safronova,7
U. I. Safronova,P. Beiersdorfer,7
A. S. Safronova,P. Beiersdorfer,7
F. A. van Abeelen,B. J. Verhaar,40
Qiong Chen,Wanli Yang,5
Qiong Chen,Mang Feng,5
Wanli Yang,Mang Feng,5
M. Busulad?ic,A. Gazibegovic-Busulad?ic,34
M. Busulad?ic,D. B. Milo?evic,34
M. Busulad?ic,W. Becker,34
A. Gazibegovic-Busulad?ic,D. B. Milo?evic,34
A. Gazibegovic-Busulad?ic,W. Becker,34
D. B. Milo?evic,W. Becker,34
David Kult,Johan Åberg,22
David Kult,Erik Sjöqvist,22
Johan Åberg,Erik Sjöqvist,22
Z.-S. Li,J. Norin,29
Z.-S. Li,A. Persson,29
Z.-S. Li,C.-G. Wahlström,29
Z.-S. Li,S. Svanberg,29
Z.-S. Li,P. S. Doidge,29
Z.-S. Li,E. Biémont,29
J. Norin,A. Persson,29
J. Norin,C.-G. Wahlström,29
J. Norin,S. Svanberg,29
J. Norin,P. S. Doidge,29
J. Norin,E. Biémont,29
A. Persson,C.-G. Wahlström,29
A. Persson,S. Svanberg,29
A. Persson,P. S. Doidge,29
A. Persson,E. Biémont,29
C.-G. Wahlström,S. Svanberg,29
C.-G. Wahlström,P. S. Doidge,29
C.-G. Wahlström,E. Biémont,29
S. Svanberg,P. S. Doidge,29
S. Svanberg,E. Biémont,29
P. S. Doidge,E. Biémont,29
S. Dyrting,Weiping Zhang,5
S. Dyrting,B. C. Sanders,5
Weiping Zhang,B. C. Sanders,5
Ramesh D. Sharma,Pradip M. Bakshi,18
Ramesh D. Sharma,Joseph M. Sindoni,18
Pradip M. Bakshi,Joseph M. Sindoni,18
Roee Ozeri,Lev Khaykovich,71
Roee Ozeri,Nir Davidson,71
Lev Khaykovich,Nir Davidson,71
Martin Dörr,R. M. Potvliege,90
Martin Dörr,Daniel Proulx,90
Martin Dörr,Robin Shakeshaft,90
R. M. Potvliege,Daniel Proulx,90
R. M. Potvliege,Robin Shakeshaft,90
Daniel Proulx,Robin Shakeshaft,90
D. Schneider,M. Prost,15
D. Schneider,B. DuBois,15
D. Schneider,N. Stolterfoht,15
M. Prost,B. DuBois,15
M. Prost,N. Stolterfoht,15
B. DuBois,N. Stolterfoht,15
Xiaoxu Guan,Ethan B. Secor,7
Xiaoxu Guan,Klaus Bartschat,7
Xiaoxu Guan,Barry I. Schneider,7
Ethan B. Secor,Klaus Bartschat,7
Ethan B. Secor,Barry I. Schneider,7
Klaus Bartschat,Barry I. Schneider,7
Ke Deng,Jinlong Yang,26
Ke Deng,C. T. Chan,26
Jinlong Yang,C. T. Chan,26
M. S. Safronova,W. R. Johnson,17
Hua-Dong Cheng,Wen-Zhuo Zhang,9
Hua-Dong Cheng,Hong-Yu Ma,9
Hua-Dong Cheng,Liang Liu,9
Hua-Dong Cheng,Yu-Zhu Wang,9
Wen-Zhuo Zhang,Hong-Yu Ma,9
Wen-Zhuo Zhang,Liang Liu,9
Wen-Zhuo Zhang,Yu-Zhu Wang,9
Hong-Yu Ma,Liang Liu,9
Hong-Yu Ma,Yu-Zhu Wang,9
Liang Liu,Yu-Zhu Wang,9
T. F. Gallagher,B. E. Perry,6
T. F. Gallagher,K. A. Safinya,6
T. F. Gallagher,W. Sandner,6
B. E. Perry,K. A. Safinya,6
B. E. Perry,W. Sandner,6
K. A. Safinya,W. Sandner,6
Bernard Held,Claude Deutsch,6
Bernard Held,Marie-Madeleine Gombert,6
Claude Deutsch,Marie-Madeleine Gombert,6
N. Kuwahara,K. Hamano,10
N. Kuwahara,T. Koyama,10
K. Hamano,T. Koyama,10
C. Etrich,Paul Mandel,24
C. Etrich,R. Centeno Neelen,24
C. Etrich,R. J. C. Spreeuw,24
C. Etrich,J. P. Woerdman,24
Paul Mandel,R. Centeno Neelen,24
Paul Mandel,R. J. C. Spreeuw,24
Paul Mandel,J. P. Woerdman,24
R. Centeno Neelen,R. J. C. Spreeuw,24
R. Centeno Neelen,J. P. Woerdman,24
R. J. C. Spreeuw,J. P. Woerdman,24
Z. Henis,S. Eliezer,1
Z. Henis,D. Neuhauser,1
Z. Henis,M. Baer,1
S. Eliezer,D. Neuhauser,1
S. Eliezer,M. Baer,1
D. Neuhauser,M. Baer,1
Yukari Matsuo,Takashi Nakajima,5
Yukari Matsuo,Tohru Kobayashi,5
Yukari Matsuo,Michio Takami,5
Takashi Nakajima,Tohru Kobayashi,5
Takashi Nakajima,Michio Takami,5
Tohru Kobayashi,Michio Takami,5
Balaji R. Rao,R. Srikanth,21
Balaji R. Rao,C. M. Chandrashekar,21
Balaji R. Rao,Subhashish Banerjee,21
R. Srikanth,C. M. Chandrashekar,21
R. Srikanth,Subhashish Banerjee,21
C. M. Chandrashekar,Subhashish Banerjee,21
Hoonsoo Kang,Gessler Hernandez,54
Hoonsoo Kang,Jiepeng Zhang,54
Hoonsoo Kang,Yifu Zhu,54
Gessler Hernandez,Jiepeng Zhang,54
Gessler Hernandez,Yifu Zhu,54
Jiepeng Zhang,Yifu Zhu,54
Moshe Deutsch,Peter Kizler,33
Y. S. Kozhedub,D. A. Glazov,12
Y. S. Kozhedub,A. N. Artemyev,12
Y. S. Kozhedub,N. S. Oreshkina,12
Y. S. Kozhedub,V. M. Shabaev,12
Y. S. Kozhedub,I. I. Tupitsyn,12
Y. S. Kozhedub,A. V. Volotka,12
Y. S. Kozhedub,G. Plunien,12
D. A. Glazov,A. N. Artemyev,12
D. A. Glazov,N. S. Oreshkina,12
D. A. Glazov,V. M. Shabaev,12
D. A. Glazov,I. I. Tupitsyn,12
D. A. Glazov,A. V. Volotka,12
D. A. Glazov,G. Plunien,12
A. N. Artemyev,N. S. Oreshkina,12
A. N. Artemyev,V. M. Shabaev,12
A. N. Artemyev,I. I. Tupitsyn,12
A. N. Artemyev,A. V. Volotka,12
A. N. Artemyev,G. Plunien,12
N. S. Oreshkina,V. M. Shabaev,12
N. S. Oreshkina,I. I. Tupitsyn,12
N. S. Oreshkina,A. V. Volotka,12
N. S. Oreshkina,G. Plunien,12
V. M. Shabaev,I. I. Tupitsyn,12
V. M. Shabaev,A. V. Volotka,12
V. M. Shabaev,G. Plunien,12
I. I. Tupitsyn,A. V. Volotka,12
I. I. Tupitsyn,G. Plunien,12
A. V. Volotka,G. Plunien,12
F. Kh. Abdullaev,B. B. Baizakov,193
F. Kh. Abdullaev,S. A. Darmanyan,193
F. Kh. Abdullaev,V. V. Konotop,193
F. Kh. Abdullaev,M. Salerno,193
B. B. Baizakov,S. A. Darmanyan,193
B. B. Baizakov,V. V. Konotop,193
B. B. Baizakov,M. Salerno,193
S. A. Darmanyan,V. V. Konotop,193
S. A. Darmanyan,M. Salerno,193
V. V. Konotop,M. Salerno,193
M. Wakasugi,W. Yang,3
M. Wakasugi,W. G. Jin,3
M. Wakasugi,T. Horiguchi,3
W. Yang,W. G. Jin,3
W. Yang,T. Horiguchi,3
W. G. Jin,T. Horiguchi,3
Marian Florescu,Hwang Lee,15
Marian Florescu,Andrew J. Stimpson,15
Marian Florescu,Jonathan Dowling,15
Hwang Lee,Andrew J. Stimpson,15
Hwang Lee,Jonathan Dowling,15
Andrew J. Stimpson,Jonathan Dowling,15
Sow-Hsin Chen,Ching-Chung Lai,39
Sow-Hsin Chen,Jaques Rouch,39
Sow-Hsin Chen,Piero Tartaglia,39
Ching-Chung Lai,Jaques Rouch,39
Ching-Chung Lai,Piero Tartaglia,39
Jaques Rouch,Piero Tartaglia,39
José M. Mercero,Joseph E. Fowler,18
José M. Mercero,Cecilia Sarasola,18
José M. Mercero,Jesus M. Ugalde,18
Joseph E. Fowler,Cecilia Sarasola,18
Joseph E. Fowler,Jesus M. Ugalde,18
Cecilia Sarasola,Jesus M. Ugalde,18
M. V. Fedorov,P. A. Volkov,7
M. V. Fedorov,J. M. Mikhailova,7
P. A. Volkov,J. M. Mikhailova,7
Thomas P. Wright,G. Ronald Hadley,22
Daniel J. McLaughlin,Yukap Hahn,7
Karin T. Andersson,Joakim Sandström,17
Karin T. Andersson,Igor Yu. Kiyan,17
Karin T. Andersson,Dag Hanstorp,17
Karin T. Andersson,David J. Pegg,17
Joakim Sandström,Igor Yu. Kiyan,17
Joakim Sandström,Dag Hanstorp,17
Joakim Sandström,David J. Pegg,17
Igor Yu. Kiyan,Dag Hanstorp,17
Igor Yu. Kiyan,David J. Pegg,17
Dag Hanstorp,David J. Pegg,17
Pragya Bhatt,Raj Singh,6
Pragya Bhatt,Namita Yadav,6
Pragya Bhatt,R. Shanker,6
Raj Singh,Namita Yadav,6
Raj Singh,R. Shanker,6
Namita Yadav,R. Shanker,6
J. P. Goedgebuer,M. Raji,1
J. P. Goedgebuer,R. Ferriere,1
M. Raji,R. Ferriere,1
Siqing Yu,Yechao Zhu,2
Siqing Yu,Ye Yeo,2
Yechao Zhu,Ye Yeo,2
Marco Cozzini,Sandro Stringari,41
Q. Deng,D. G. Deppe,12
C. S. Chang,P. Stehle,6
Justo Rodríguez,Luciana C. Dávila Romero,10
Justo Rodríguez,David L. Andrews,10
Luciana C. Dávila Romero,David L. Andrews,10
Allen D. Parks,Douglas H. Sampson,6
Louis M. Pecora,Thomas L. Carroll,559
H. A. Camp,M. H. Shah,8
H. A. Camp,M. L. Trachy,8
H. A. Camp,O. L. Weaver,8
H. A. Camp,B. D. DePaola,8
M. H. Shah,M. L. Trachy,8
M. H. Shah,O. L. Weaver,8
M. H. Shah,B. D. DePaola,8
M. L. Trachy,O. L. Weaver,8
M. L. Trachy,B. D. DePaola,8
O. L. Weaver,B. D. DePaola,8
L. F. Santos,C. O. Escobar,1
A. N. Hussain,G. Roberts,2
R. A. Harris,R. M. Pitzer,4
H. Jing,Y. Jiang,2
H. Jing,Weiping Zhang,2
H. Jing,P. Meystre,2
Y. Jiang,Weiping Zhang,2
Y. Jiang,P. Meystre,2
Weiping Zhang,P. Meystre,2
W. Schoepe,G. W. Rayfield,42
Koudai Toyota,Shinichi Watanabe,11
Renaud Guillemin,Wayne C. Stolte,3
Renaud Guillemin,Maria Novella Piancastelli,3
Renaud Guillemin,Dennis W. Lindle,3
Wayne C. Stolte,Maria Novella Piancastelli,3
Wayne C. Stolte,Dennis W. Lindle,3
Maria Novella Piancastelli,Dennis W. Lindle,3
Aristeu R. P. Lima,Axel Pelster,19
D. R. Alcoba,C. Valdemoro,9
D. R. Alcoba,L. M. Tel,9
D. R. Alcoba,E. Pérez-Romero,9
C. Valdemoro,L. M. Tel,9
C. Valdemoro,E. Pérez-Romero,9
L. M. Tel,E. Pérez-Romero,9
T. Shirai,H. Nakamura,3
T. Shirai,Y. Nakai,3
H. Nakamura,Y. Nakai,3
Christopher Eltschka,Jens Siewert,4
Young-Sea Huang,Juang-Han Chiue,3
Young-Sea Huang,Yi-Chi Huang,3
Young-Sea Huang,Te-Chih Hsiung,3
Juang-Han Chiue,Yi-Chi Huang,3
Juang-Han Chiue,Te-Chih Hsiung,3
Yi-Chi Huang,Te-Chih Hsiung,3
Hiroshi Ryufuku,Tsutomu Watanabe,91
Hossein R. Sadeghpour,Chris H. Greene,9
Ye-Ryoung Lee,Tout T. Wang,5
Ye-Ryoung Lee,Timur M. Rvachov,5
Ye-Ryoung Lee,Jae-Hoon Choi,5
Ye-Ryoung Lee,Wolfgang Ketterle,5
Ye-Ryoung Lee,Myoung-Sun Heo,5
Tout T. Wang,Timur M. Rvachov,5
Tout T. Wang,Jae-Hoon Choi,5
Tout T. Wang,Wolfgang Ketterle,5
Tout T. Wang,Myoung-Sun Heo,5
Timur M. Rvachov,Jae-Hoon Choi,5
Timur M. Rvachov,Wolfgang Ketterle,5
Timur M. Rvachov,Myoung-Sun Heo,5
Jae-Hoon Choi,Wolfgang Ketterle,5
Jae-Hoon Choi,Myoung-Sun Heo,5
Wolfgang Ketterle,Myoung-Sun Heo,5
Mitsuyoshi Yukawa,Hugo Benichi,20
Mitsuyoshi Yukawa,Akira Furusawa,20
Hugo Benichi,Akira Furusawa,20
Garry Goldstein,Natan Andrei,4
J. Ries,B. Brezger,37
J. Ries,A. I. Lvovsky,37
B. Brezger,A. I. Lvovsky,37
G. Huyet,J. K. White,36
G. Huyet,A. J. Kent,36
G. Huyet,S. P. Hegarty,36
G. Huyet,J. V. Moloney,36
G. Huyet,J. G. McInerney,36
J. K. White,A. J. Kent,36
J. K. White,S. P. Hegarty,36
J. K. White,J. V. Moloney,36
J. K. White,J. G. McInerney,36
A. J. Kent,S. P. Hegarty,36
A. J. Kent,J. V. Moloney,36
A. J. Kent,J. G. McInerney,36
S. P. Hegarty,J. V. Moloney,36
S. P. Hegarty,J. G. McInerney,36
J. V. Moloney,J. G. McInerney,36
P. H. Damgaard,G. Thorleifsson,4
Hans Persson,Sten Salomonson,51
Hans Persson,Per Sunnergren,51
Hans Persson,Ingvar Lindgren,51
Sten Salomonson,Per Sunnergren,51
Sten Salomonson,Ingvar Lindgren,51
Per Sunnergren,Ingvar Lindgren,51
Hari Krovi,Ognyan Oreshkov,30
Hari Krovi,Mikhail Ryazanov,30
Hari Krovi,Daniel A. Lidar,30
Ognyan Oreshkov,Mikhail Ryazanov,30
Ognyan Oreshkov,Daniel A. Lidar,30
Mikhail Ryazanov,Daniel A. Lidar,30
R. Radtke,C. Biedermann,3
Jian-zu Zhang,Xin-zhou Li,1
Jian-zu Zhang,Jiu-an Zhang,1
Jian-zu Zhang,Gui-rong Ma,1
Xin-zhou Li,Jiu-an Zhang,1
Xin-zhou Li,Gui-rong Ma,1
Jiu-an Zhang,Gui-rong Ma,1
Thomas A. Vilgis,Redouane Borsali,33
A. Quattropani,F. Bassani,37
A. Quattropani,Sandra Carillo,37
F. Bassani,Sandra Carillo,37
A. V. Avdeenkov,J. L. Bohn,9
P. Palihawadana,R. Boadle,8
P. Palihawadana,L. Chiari,8
P. Palihawadana,E. K. Anderson,8
P. Palihawadana,J. R. Machacek,8
P. Palihawadana,M. J. Brunger,8
P. Palihawadana,S. J. Buckman,8
P. Palihawadana,J. P. Sullivan,8
R. Boadle,L. Chiari,8
R. Boadle,E. K. Anderson,8
R. Boadle,J. R. Machacek,8
R. Boadle,M. J. Brunger,8
R. Boadle,S. J. Buckman,8
R. Boadle,J. P. Sullivan,8
L. Chiari,E. K. Anderson,8
L. Chiari,J. R. Machacek,8
L. Chiari,M. J. Brunger,8
L. Chiari,S. J. Buckman,8
L. Chiari,J. P. Sullivan,8
E. K. Anderson,J. R. Machacek,8
E. K. Anderson,M. J. Brunger,8
E. K. Anderson,S. J. Buckman,8
E. K. Anderson,J. P. Sullivan,8
J. R. Machacek,M. J. Brunger,8
J. R. Machacek,S. J. Buckman,8
J. R. Machacek,J. P. Sullivan,8
M. J. Brunger,S. J. Buckman,8
M. J. Brunger,J. P. Sullivan,8
S. J. Buckman,J. P. Sullivan,8
Sadhan K. Adhikari,Boris A. Malomed,14
Changbiao Li,Yanpeng Zhang,12
Changbiao Li,Zhiqiang Nie,12
Changbiao Li,Yigang Du,12
Changbiao Li,Ruimin Wang,12
Changbiao Li,Jianping Song,12
Changbiao Li,Min Xiao,12
Yanpeng Zhang,Zhiqiang Nie,12
Yanpeng Zhang,Yigang Du,12
Yanpeng Zhang,Ruimin Wang,12
Yanpeng Zhang,Jianping Song,12
Yanpeng Zhang,Min Xiao,12
Zhiqiang Nie,Yigang Du,12
Zhiqiang Nie,Ruimin Wang,12
Zhiqiang Nie,Jianping Song,12
Zhiqiang Nie,Min Xiao,12
Yigang Du,Ruimin Wang,12
Yigang Du,Jianping Song,12
Yigang Du,Min Xiao,12
Ruimin Wang,Jianping Song,12
Ruimin Wang,Min Xiao,12
Jianping Song,Min Xiao,12
Albert Le Floch,Roger Le Naour,29
Uvo C. Hölscher,Stephen D. Clow,2
Uvo C. Hölscher,Thomas Weinacht,2
Stephen D. Clow,Thomas Weinacht,2
E. Eisenberg,L. P. Horwitz,1
Kaige Wang,De-Zhong Cao,49
J.-P. Weber,J. C. Dehaes,2
J.-P. Weber,J. Devooght,2
J. C. Dehaes,J. Devooght,2
P. S. Julienne,Jacques Vigué,139
Thomas Nattermann,Wolfgang Renz,43
O. L. de Lange,R. E. Raab,4
S. Wakid,A. K. Bhatia,6
S. Wakid,A. Temkin,6
A. K. Bhatia,A. Temkin,6
H. Mineo,S. D. Chao,3
H. Mineo,K. Mishima,3
H. Mineo,K. Nagaya,3
H. Mineo,M. Hayashi,3
H. Mineo,S. H. Lin,3
S. D. Chao,K. Mishima,3
S. D. Chao,K. Nagaya,3
S. D. Chao,M. Hayashi,3
S. D. Chao,S. H. Lin,3
K. Mishima,K. Nagaya,3
K. Mishima,M. Hayashi,3
K. Mishima,S. H. Lin,3
K. Nagaya,M. Hayashi,3
K. Nagaya,S. H. Lin,3
M. Hayashi,S. H. Lin,3
Jie Liu,Libin Fu,147
Jie Liu,Bi-Yiao Ou,147
Jie Liu,Shi-Gang Chen,147
Jie Liu,Dae-Il Choi,147
Jie Liu,Biao Wu,147
Jie Liu,Qian Niu,147
Libin Fu,Bi-Yiao Ou,147
Libin Fu,Shi-Gang Chen,147
Libin Fu,Dae-Il Choi,147
Libin Fu,Biao Wu,147
Libin Fu,Qian Niu,147
Bi-Yiao Ou,Shi-Gang Chen,147
Bi-Yiao Ou,Dae-Il Choi,147
Bi-Yiao Ou,Biao Wu,147
Bi-Yiao Ou,Qian Niu,147
Shi-Gang Chen,Dae-Il Choi,147
Shi-Gang Chen,Biao Wu,147
Shi-Gang Chen,Qian Niu,147
Dae-Il Choi,Biao Wu,147
Dae-Il Choi,Qian Niu,147
Biao Wu,Qian Niu,147
A. M. Nemirovsky,Jacek Dudowicz,30
A. M. Nemirovsky,Karl F. Freed,30
Jacek Dudowicz,Karl F. Freed,30
A. Alastuey,Ph. A. Martin,38
B. T. Smith,W. R. Edwards,37
B. T. Smith, III,37
B. T. Smith,L. D. Doverspike,37
B. T. Smith,R. L. Champion,37
W. R. Edwards, III,37
W. R. Edwards,L. D. Doverspike,37
W. R. Edwards,R. L. Champion,37
 III,L. D. Doverspike,37
 III,R. L. Champion,37
L. D. Doverspike,R. L. Champion,37
L. Neves,M. A. Solís-Prosser,1
L. Neves,A. Delgado,1
L. Neves,O. Jiménez,1
M. A. Solís-Prosser,A. Delgado,1
M. A. Solís-Prosser,O. Jiménez,1
A. Delgado,O. Jiménez,1
